"","rat_gene_id","rat_gene_symbol","LHNS1","LHNS2","LHNS3","IGFNS1","IGFNS2","IGFNS3","PDGFNS1","PDGFNS2","PDGFNS3"
"28683","ENSRNOG00000053958","LOC120099019",0,0,0,0,0,0,0,0,0
"28684","ENSRNOG00000052698","LOC120099023",0,0,0,0,0,0,0,0,0
"28685","ENSRNOG00000062411","LOC686288",0,0,0,0,0,0,0,0,0
"28686","ENSRNOG00000000397","Ccar1",1060,852,1013,1860,1247,1773,1369,2318,1917
"28687","ENSRNOG00000059119","LOC120099074",2,0,1,0,0,1,0,1,0
"28688","ENSRNOG00000052793","LOC120099046",0,0,0,0,0,0,0,0,0
"28689","ENSRNOG00000062460","LOC120099021",0,0,0,0,0,0,0,0,0
"28690","ENSRNOG00000037604","Ascc3",935,791,861,1417,1042,1181,1183,1811,1435
"28691","ENSRNOG00000059933","LOC120099049",0,0,0,0,0,0,0,0,0
"28692","ENSRNOG00000053612","LOC120099073",0,0,0,0,0,0,0,0,0
"28693","ENSRNOG00000052415","Gstt2",224,124,75,290,144,206,332,315,309
"28694","ENSRNOG00000051864","LOC120099017",0,0,0,0,0,0,0,0,0
"28695","ENSRNOG00000067841","Or12d13",0,0,0,0,0,0,1,1,0
"28696","ENSRNOG00000054444","RNaseP_nuc",5,2,2,1,2,1,2,2,2
"28697","ENSRNOG00000049580","Gpr6",0,0,0,0,0,0,0,1,0
"28698","ENSRNOG00000054443","LOC120099027",0,0,0,0,0,0,0,0,0
"28699","ENSRNOG00000068882","Or12d2",1,0,0,3,1,0,1,0,1
"28700","ENSRNOG00000053988","Snord52",27,15,35,31,21,24,18,31,31
"28701","ENSRNOG00000055027","Snord83",0,0,0,0,0,0,0,0,0
"28702","ENSRNOG00000058745","LOC120099048",0,0,0,0,1,0,0,0,0
"28703","ENSRNOG00000054091","Snora38",0,0,0,0,0,0,0,0,0
"28704","ENSRNOG00000061471","Snord48",3,4,3,3,1,3,2,4,4
"28705","ENSRNOG00000000588","Slc16a10",0,0,3,2,2,8,3,2,3
"28706","ENSRNOG00000042962","Pdss2",111,83,82,159,83,123,107,205,157
"28707","ENSRNOG00000061767","LOC120099056",11,9,8,12,8,18,13,23,13
"28708","ENSRNOG00000001203","Rrp1",533,266,320,463,191,409,272,537,425
"28709","ENSRNOG00000057680","LOC120099050",0,0,0,0,0,0,1,0,1
"28710","ENSRNOG00000058535","LOC120099029",0,0,0,0,0,0,0,0,0
"28711","ENSRNOG00000068798","LOC120099038",0,0,0,0,0,0,0,0,0
"28712","ENSRNOG00000052404","LOC120099026",0,0,0,0,0,0,0,0,0
"28713","ENSRNOG00000000777","RT1-S3",113,77,42,99,52,119,142,178,172
"28714","ENSRNOG00000000763","RT1-M3-1",115,66,64,157,80,110,123,165,167
"28715","ENSRNOG00000052780","LOC120099067",0,0,0,0,0,0,0,0,0
"28716","ENSRNOG00000056426","Snora69",0,0,0,4,4,0,1,0,0
"28717","ENSRNOG00000061360","LOC120099037",0,1,0,2,0,0,0,0,1
"28718","ENSRNOG00000054099","LOC120099071",0,1,0,2,1,0,0,1,1
"28719","ENSRNOG00000067147","LOC120099041",0,0,1,1,0,0,0,0,0
"28720","ENSRNOG00000064718","LOC120099040",1,0,0,0,0,0,1,0,0
"28721","ENSRNOG00000000867","Vars1",2323,1078,1029,2071,893,2009,879,1622,1348
"28722","ENSRNOG00000058368","LOC120099022",1,0,1,2,1,2,2,2,0
"28723","ENSRNOG00000059658","LOC120099080",0,0,0,0,0,0,0,0,0
"28724","ENSRNOG00000037765","Lims1",1064,874,1206,2076,1505,1501,1699,2613,2284
"28725","ENSRNOG00000069970","LOC120099036",0,0,0,0,0,0,0,0,0
"28726","ENSRNOG00000059368","Mir327",0,0,0,0,0,0,0,2,0
"28727","ENSRNOG00000065111",NA,0,0,0,0,0,0,0,0,0
"28728","ENSRNOG00000041223","Mir877",0,0,0,0,0,0,0,0,0
"28729","ENSRNOG00000036441","Mir678",0,0,0,0,0,0,0,0,0
"28730","ENSRNOG00000000767","AC112568.1",0,0,0,0,0,0,0,0,0
"28731","ENSRNOG00000046573","Mir6328",0,0,0,0,0,0,0,0,0
"28732","ENSRNOG00000035653","Mir219a1",0,0,0,0,0,0,0,0,0
"28733","ENSRNOG00000042905","RT1-T24-4",179,78,82,165,57,176,110,177,111
"28734","ENSRNOG00000000768","Ubd",0,0,0,0,0,0,0,0,0
"28735","ENSRNOG00000001228","Pofut2",3849,2063,2509,2676,1387,2904,1934,3884,3305
"28736","ENSRNOG00000062729","Or2h2c",0,0,0,0,0,0,0,0,0
"28737","ENSRNOG00000000323","Prdm1",29,15,21,1,1,0,7,66,59
"28738","ENSRNOG00000065421","Or1o2d-ps1",0,0,0,0,0,0,0,0,0
"28739","ENSRNOG00000049063","Slc16a9",5,4,9,71,40,54,391,1056,648
"28740","ENSRNOG00000070009","Or1o2",0,0,0,0,0,0,0,0,0
"28741","ENSRNOG00000065219",NA,377,372,467,721,483,485,552,706,723
"28742","ENSRNOG00000000585","Amd1",361,279,422,706,532,481,399,818,684
"28743","ENSRNOG00000045658","AABR07044301.1",0,0,0,0,0,0,0,0,0
"28744","ENSRNOG00000001315","Rsph14",1,0,1,0,0,1,0,2,0
"28745","ENSRNOG00000000583","Cdk19",2057,1178,1346,2450,1336,2612,2604,4216,3921
"28746","ENSRNOG00000000765","Or11a4",0,0,0,0,0,0,0,0,0
"28747","ENSRNOG00000067843","Or2h1b",0,0,0,1,0,0,1,0,0
"28748","ENSRNOG00000065073","Or14j5e",0,0,0,0,0,0,0,0,0
"28749","ENSRNOG00000065633",NA,2,2,3,12,8,10,5,2,4
"28750","ENSRNOG00000050550","Nr2e1",1,0,1,0,0,1,0,2,1
"28751","ENSRNOG00000032596","RT1-T24-3",265,177,185,354,156,353,192,264,224
"28752","ENSRNOG00000066928",NA,0,0,0,0,0,0,0,0,0
"28753","ENSRNOG00000063048","Or2n1e",0,0,0,0,0,0,0,0,0
"28754","ENSRNOG00000024543","Mfsd4b1",106,68,81,159,101,134,133,253,207
"28755","ENSRNOG00000069105","Or2n1h",0,0,0,0,0,0,0,0,0
"28756","ENSRNOG00000001313","Gnaz",5,3,2,8,3,2,2,3,4
"28757","ENSRNOG00000068471",NA,0,0,0,1,2,1,0,1,0
"28758","ENSRNOG00000000726","Or2j3",0,0,0,0,0,0,0,0,0
"28759","ENSRNOG00000070471","Or1o2c",0,0,0,0,0,0,0,0,0
"28760","ENSRNOG00000037647","Ostm1",1013,709,868,1259,850,1085,1290,1904,1795
"28761","ENSRNOG00000001237","Cabin1",2920,1194,1447,2580,1212,3314,1757,3090,2794
"28762","ENSRNOG00000028035","AABR07072807.1",0,0,0,0,0,0,0,0,0
"28763","ENSRNOG00000000299","Foxo3",745,399,401,1052,545,1037,813,1746,1479
"28764","ENSRNOG00000000579","Marcks",2830,1414,1315,3593,2044,3446,2441,2348,2490
"28765","ENSRNOG00000065272","Or2h1",0,0,0,0,0,0,1,0,0
"28766","ENSRNOG00000058288","Tcf19",603,313,257,442,264,667,233,449,466
"28767","ENSRNOG00000000605","Hs3st5",0,0,0,1,0,0,0,0,0
"28768","ENSRNOG00000046487","Pou5f1",0,0,0,0,0,1,1,0,0
"28769","ENSRNOG00000065072","Or2n1g",0,0,0,0,0,0,0,0,0
"28770","ENSRNOG00000000798","Gnl1",519,252,252,526,228,483,353,713,641
"28771","ENSRNOG00000000811","Pkib",1,0,3,1,0,1,6,30,46
"28772","ENSRNOG00000063793","Olr1675",2,0,0,0,1,0,0,0,0
"28773","ENSRNOG00000050389","Olr1675",0,0,0,0,0,0,0,0,0
"28774","ENSRNOG00000053288","Ank3",615,339,341,1003,484,866,740,1513,962
"28775","ENSRNOG00000027859","Tmem26",36,8,12,402,149,277,200,590,406
"28776","ENSRNOG00000068494","LOC120098956",0,0,0,0,1,0,0,0,0
"28777","ENSRNOG00000063264",NA,0,0,0,0,0,0,0,0,0
"28778","ENSRNOG00000066952",NA,0,0,0,0,0,0,0,0,0
"28779","ENSRNOG00000047118","Mtres1",41,23,48,85,52,77,52,94,93
"28780","ENSRNOG00000025806","Prr3",1275,643,993,1610,791,1297,1047,1772,1386
"28781","ENSRNOG00000067903","Or14j6",0,0,0,0,0,0,0,0,0
"28782","ENSRNOG00000066890","Or14j1",0,0,0,0,0,0,0,0,0
"28783","ENSRNOG00000065474","Or2b4",1240,1260,1750,1271,943,1161,1026,1420,1411
"28784","ENSRNOG00000000321","Cd24",22,71,120,24,75,141,99,96,77
"28785","ENSRNOG00000000746","Or2g1",0,0,0,0,0,0,0,0,0
"28786","ENSRNOG00000000814","Fabp7",0,0,0,0,0,0,0,0,0
"28787","ENSRNOG00000000799","Abcf1",1123,588,727,986,498,977,588,1068,931
"28788","ENSRNOG00000000589","RGD1310495",1,1,1,1,0,2,2,3,3
"28789","ENSRNOG00000046355","Or10al6-ps1",0,0,0,0,0,0,0,0,0
"28790","ENSRNOG00000043199","Bves",1815,910,1357,1102,633,1019,348,502,491
"28791","ENSRNOG00000000599","Lama4",2296,1318,1191,2922,1684,2249,1549,3613,2579
"28792","ENSRNOG00000046708","Or10al7",0,0,0,0,0,0,0,0,0
"28793","ENSRNOG00000059268","Ppp1r10",1462,919,1154,1682,920,1776,1144,2214,1584
"28794","ENSRNOG00000050316","Or10al27",0,0,0,0,0,3,0,0,0
"28795","ENSRNOG00000065757","Or2g25",0,0,0,0,0,0,0,0,0
"28796","ENSRNOG00000070745","Tnf",0,9,0,0,1,0,1,1,0
"28797","ENSRNOG00000051592","Sirt1",318,251,294,570,408,464,429,568,563
"28798","ENSRNOG00000067694",NA,2,0,0,0,0,0,1,2,2
"28799","ENSRNOG00000070514","Or14j3d",0,0,0,0,0,0,0,0,0
"28800","ENSRNOG00000001212","Dnmt3l",0,0,0,0,0,0,0,0,0
"28801","ENSRNOG00000069884","Or14j15",0,0,0,0,0,0,0,0,0
"28802","ENSRNOG00000061040","Herc4",422,335,411,946,606,751,822,1248,1100
"28803","ENSRNOG00000070634","Or14j10e-ps1",0,0,0,0,0,0,0,0,0
"28804","ENSRNOG00000049590","RT1-M2",0,0,0,0,0,0,0,0,0
"28805","ENSRNOG00000065687","Or12d17",0,0,0,0,0,0,0,1,0
"28806","ENSRNOG00000000572","Chst3",55,38,41,93,35,68,14,110,56
"28807","ENSRNOG00000048579","Psors1c2",0,2,0,0,0,1,1,0,0
"28808","ENSRNOG00000062763",NA,0,0,0,0,1,0,0,0,0
"28809","ENSRNOG00000000855","Lst1",0,0,0,0,0,0,0,0,0
"28810","ENSRNOG00000000383","Mypn",1,4,3,1,2,3,3,7,5
"28811","ENSRNOG00000000632","Cdk1",523,363,396,762,628,1110,372,673,676
"28812","ENSRNOG00000042370","AABR07044308.1",1,0,0,0,0,0,0,0,0
"28813","ENSRNOG00000000316","Sobp",1,0,0,0,0,0,1,4,2
"28814","ENSRNOG00000000854","Ncr3",0,0,0,1,0,1,0,0,0
"28815","ENSRNOG00000069773",NA,0,0,0,0,0,0,0,0,0
"28816","ENSRNOG00000054603","Pacsin1",1,0,0,0,0,0,1,0,0
"28817","ENSRNOG00000000587","Rpf2",100,99,143,228,167,198,175,276,261
"28818","ENSRNOG00000001242","Gstt3",1,0,3,3,1,5,1,1,4
"28819","ENSRNOG00000000774","Gabbr1",1839,870,1020,1290,627,1051,944,1364,1056
"28820","ENSRNOG00000000586","Gtf3c6",75,57,73,176,94,86,105,170,141
"28821","ENSRNOG00000000536","Mdga1",2,0,3,7,2,3,0,1,0
"28822","ENSRNOG00000026049","Qrsl1",68,47,74,141,78,117,57,125,105
"28823","ENSRNOG00000000279","Rtn4ip1",71,51,64,127,69,110,77,166,117
"28824","ENSRNOG00000000804","Mrps18b",1284,754,1067,1310,681,1318,807,1574,1310
"28825","ENSRNOG00000000405","Vgll2",7,2,2,0,0,2,2,3,1
"28826","ENSRNOG00000000568","Slc29a3",359,180,192,488,201,553,305,516,367
"28827","ENSRNOG00000068887","Ddt",2177,1365,1408,3821,1714,2753,2643,3738,3562
"28828","ENSRNOG00000062554","LOC102546590",6,1,1,13,2,3,2,14,1
"28829","ENSRNOG00000026217","Armc2",24,19,16,67,27,47,40,113,73
"28830","ENSRNOG00000000809","Atat1",1075,576,751,1668,845,1534,802,1348,1010
"28831","ENSRNOG00000000785","Trim39",226,104,102,210,104,211,136,218,160
"28832","ENSRNOG00000000567","Unc5b",10768,5149,4503,14978,6344,13939,5794,13526,9406
"28833","ENSRNOG00000062809","RT1-M10-1",0,0,0,0,0,0,0,0,0
"28834","ENSRNOG00000000488","Hmga1",1298,665,609,563,309,858,3457,5796,4580
"28835","ENSRNOG00000000786","Rpp21",0,0,0,0,0,0,0,0,0
"28836","ENSRNOG00000070997","Or12d14",0,0,0,0,0,0,0,0,0
"28837","ENSRNOG00000065028","Or5v1b",0,0,0,0,0,0,0,0,0
"28838","ENSRNOG00000070408","Olr1731",0,0,0,0,0,0,0,0,0
"28839","ENSRNOG00000047171","Rnf8",178,90,114,211,85,203,154,248,221
"28840","ENSRNOG00000000846","Ly6g5c",0,0,0,0,0,0,0,0,0
"28841","ENSRNOG00000000547","Tspyl4",146,60,74,313,149,248,116,217,150
"28842","ENSRNOG00000032844","RT1-Da",53,34,48,12,12,22,28,49,35
"28843","ENSRNOG00000000853","Aif1",2,1,0,2,0,0,0,2,0
